Athlete,Country,2019 Heats,2019 Semi,2019 Final,2022 Heat,2022 Semi,2022 Final
Nia Ali,USA,0.157,0.15,0.155,0.13,,
Anne Zagre,Belgium,0.149,0.135,,0.158,,
Danielle Williams,Jamaica,0.126,0.122,0.127,0.194,0.105,0.105
Andrea Carolina Vargas,Costa Rica,0.144,0.15,0.157,0.122,0.154,
Celeste Mucci,Australia,0.164,,,0.163,0.143,
Kendra Harris,USA,0.131,0.155,0.14,0.182,0.155,0.145
Reetta Hurske,Finland,0.146,0.128,,0.129,0.113,
Tori Amusan,Nigeria,0.121,0.124,0.218,0.135,0.144,0.13
Nadine Visser,Netherlands,0.138,0.148,0.147,0.136,0.125,
Michelle Jenneke,Australia,0.136,0.159,,0.131,0.12,
